mg,mo,gm,go,om,og
"3,5,19,30,40,42,45","23,26,40,48","6,7,11,38,41","2,12,16,32,41,47","3,9,42,47,48","34,42"
"11,20,25,34,47","1,14,34,38,42,48","9,18,27,38","17,18,30,43","1,6,28","11,21,33,41,48"
"4,41,47,45","2,9,19,38","12,14,24,25,44","11,12,13,16","2,19,39,45","0,13,16,30,36"
"6,10,41,45,46","0,4,30,31,47","0,13,17,19,35,40,45,47","7,10,18,24,27,30,33,35,37,40","6,9,10,21,23,48","7,14,27,42"
"4,6,11,25,32,47,48","29,31,32,44,45,47","2,4,12,13,32","10,15,20,27,45,47","3,8,19,23,30,32,42,47","34,47,48"
"6,22,47","11,21,31,39","0,24,25,27",17,"35,38,41","27,31,32,35"
"0,15,29,37,47","1,3,10,11,14,15,30,40,43,45","3,4,5,12,18,24,47","15,18,33,36,38,40,42","14,16,40","16,35,40"
"0,18,22,32,45","7,19,24,29,42","8,10,11,24,32,42,45","3,28,29,33","7,9,10,19,28,39,40","3,9,18,20,22"
"7,26,33,35,36","4,17,29,34,38","9,11,12,35",40,"9,10,13","17,21,30,41,45"
"1,8,14,37","0,3,7,8,26,27,36,48","11,22,42","7,10,11,14,16,29,33,36,46","2,29,46,48","13,19,25,32,33,43,48"
"7,11,14,16,19,20,24,26,29,32,36,37","3,7,8,11,14,31,45","3,11,15,25,27,30,36,37","12,28,31","6,13,38,47","3,4,9,20"
"0,7,8,9,10,21,25,38,40,43,48","13,25,31","1,4,10,13,27","1,15,31","5,6,10,12,28,29,39,45","2,9,16,28,33,37,48"
"2,4,6,8,14,16,30,35,44","11,24,29,33,34,48",27,20,"16,18,33,42,43","0,2,10,21,34,36"
"3,4,11,19,45","8,10,15,21,33,34,44,45,47","14,34,40,41","2,9,23,32,42,47","11,35","2,31,37"
"2,13,14,18,28,45","6,15,26,36,39","9,10,12,14,20,33,36,39,43,45","3,32,46,47","1,6,10,21,25,26,42,44,46","9,15,18,32"
"10,21,23,32",47,"6,25,28,30,43,45","14,23,27,40,48","6,13,14,21,47,48","4,6,11,21,42"
"29,36,45","6,12,17,20,22,44","10,12,17,40","2,6,11,18,19,20,22,28,39","20,23,27,39,42","0,2,9,18,24,43"
"3,16,31",34,"23,26,29,37","8,18,33,46","8,16,22,32,42","1,5,19,20,32,34,39"
"1,6,19,20,30,39","12,44,48","7,14,22,25,26,29,31,32,43","7,14,16","37,38,45","1,3,6,16,17,42"
"3,31","2,4,7,19,25,27,31,37,45","0,10,13,18,31,38,46,47","9,17,19,26,36,42,48","2,7,19,25,45","16,19,35,39,48"
"14,21","16,27","1,10,18,30,33","7,10,17,43","16,26","4,12,16,22,24,32,37"
"30,39,40,43,48,45","3,14,15,31,36,48","11,15,20","1,8,12,15,30,33,34,37,44","5,13,41","37,39"
"9,18,25","17,22,28,32,39","5,7,25,31,39,40,42","7,20,27,28,29,30,39","16,22,24,26,28","16,35,39,48"
"17,34","3,4,16,45,46","15,29,31,34,35","38,39","0,24,33,37","13,15,24,36,43,45,47"
"2,5,6,7,24,42","22,23,25,43","10,24,26,40,41","16,20,23,42,47","7,12,27",3
"2,5,10,15,18,22,28","14,19,25,31,32,38,39","1,4,11,22,34,43","9,26,40","11,19,24,25,31,41","32,33"
"17,18,24,45","14,20,22,34,38,40,44","8,10,27","35,45,47","0,9,14,27,29,32,46","19,25"
"1,5,10,11,12,26","16,24,26,38,42",34,"3,5,31,35,42,47","9,19,20,45","3,4,15,22,39,45"
"15,45,45","1,7,11,22,32,35,44","14,25,32,33","11,33","22,31,32","7,10,16,22,39"
"17,18,23","9,11,26,29,32,38,39","6,10,16,32,38,43,44",30,"4,7,8,12,29,33,37","7,9,22,30,31,32,40"
"10,15,20,45","4,39,40,45,47","0,12,18,21,36,40","2,8,29,37","3,6,38","1,3,21,22,29,47"
"18,19,22,23,40,41,44","25,28,43","17,19","5,13,29,38","3,4,5,10,11,19,21,25,36,41,47","10,11,27,40"
"4,7,18,28,29","4,17,26,28","4,7,10,15,35,37","5,9,14,17,20,25,29,46","4,22,25,28,29,34,37,43","0,13,14,38,40"
"14,20,28,37,39,41,45","12,23,29","8,40","1,9,11,25,34,42,45","12,13,45","3,6,7,9,17,21,28,43"
"13,23,25,27,37","32,38,42,45,47","1,23,39,40","0,4,12,17,38","1,8,12,13,17,26","21,33,35"
"3,8,23,32,45,47","5,13,46","8,12,42","5,6,19,22,34,36,47","28,36","3,26,27"
"10,14,30","31,35,37,44","8,10,16,39,46","2,12,23,38,40","9,14,21,45","6,9,19,35,38,39,40,47"
"10,17,32,38,40","18,23,29,32","6,9,10,33,34,45","11,13,20,21,38,40,45","19,36,41","3,21,30"
"0,1,19,29,45","5,10,18,30","11,37,44","32,36,42,47,48","1,2,8,25,26,27,29,34","6,23,31,34,36,37"
"14,22,34,36,40,42,44","2,7,11,16","18,21,33","17,19,21,22,27,28,36,44,48","5,14,22,25,29,30,46","16,22,23,41"
"3,13,16,22,24,30,33,34","6,7,44,48","0,11,21,31,37,39,41","6,29,31,32,36,47","0,6,26,30","3,6,8,15,25,36,37,41,48"
"0,13,24,40,45,46","5,21,25,31,37","2,3,31,33,48","1,8,39,40",43,0
"7,9,22,35","0,4,12,14,16,17","0,24,39","0,3,15,18,42,44","1,7,27,34,48","6,13,19,24,27,33,38,42,43"
"14,15,18,25,29,44","12,32,41,46","11,21","9,16,23,33,42,44","6,24,31","1,20"
"2,29,38,45","14,45","12,31,39,43",49,"4,13,16,18,26,28,36,40,46","21,39,42,43,48"
"3,7,14,15,37","2,11,18,19,27,33,36,45","0,3,7,14,16,26,28,30,33,35,41,44","8,23,27","4,6,10,13,19,23,30,34,44,45,46","4,26,33,37"
"19,36","9,14,26,39,44,45","3,41",48,"23,35,43","9,14,17,32"
"3,6,19","0,4,10,15,31","1,2,4,5,6,35","4,23,30,36","3,4,13,15,30,34","0,4,13,14,24,26,27,35,38,40,48"
41,"0,3,9,15,42","4,11,21","1,4,9,11,19,22,40,44,47","0,1,9,12,18,21,40","15,19,38,39,46"
1,1,1,1,1,1
