mg,mo,gm,go,om,og
"0,1,3,6,15,26,31,36,38,45,49","0,1,5,15,22,24,30,35,36,40,48","0,1,7,8,10,12,13,21,23,30,35,38,41,46,47","8,12,17,32,34,37,41,43","0,4,13,23,26,34,42,44,47,48","9,11,12,18,22,31,41,46,48"
"0,2,9,16,17,23,29,33,44","3,7,11,19,23,27,29,31,34,45,46,48","0,4,7,9,13,20,21,39,43,44,48","5,6,9,19,26,33,35,46","0,2,5,31","4,6,7,12,14,16,23,26,29,34,37,41,42"
"4,9,16,19,23,24,26,34,35,37,40,43,46","1,5,7,14,19,34,35,39,41,47,49","1,11,12,20,23,27,29,31,33,36,38,46","3,6,12,19,27,29,31,33,37","3,18,27,34,40,48","11,22,32,44"
"6,14,23,27,33,41","2,5,6,11,23,31,32,41,42","0,7,9,11,16,22,28,30,31,35,40,46,47","7,11,17,19,21,26,30,36,38,39,40,42,43,46,48","1,6,8,11,14,25,26,29,30,31,34,38,39,40,42,43","2,4,5,7,8,13,16,18,20,21,31"
"1,4,7,9,13,16,23,26,30,33,46","0,19,21,28,35,36,40,42,47,48","2,4,5,9,13,16,18,20,24,25,27,28,35,47","1,3,4,6,9,11,29,32,37,39,40,43,44,46,48,49","6,7,10,14,16,17,25,29,36,41","4,18,20,29,32,34,37,39,45,46,49"
"4,14,16,25,27,47","1,17,20,21,25,33,36,49","11,18,19,21,22,30,33,36,47,49","3,10,13,16,19,20,26,32,40,47","0,2,3,8,12,21,25,34,41,43,49","1,6,12,17,20,30,31,32,34,44,45,48"
"9,14,20,21,25,32,41,49","3,4,8,12,13,16,36,38,39,42,43,48","0,3,13,20,22,23","1,5,14,21,31,37,42,49","3,7,15,16,28,35,37,39,44,46","1,2,4,7,8,12,13,21,29,30,34,48"
"0,1,3,10,15,17,29,32,46","4,6,8,14,16,17,19,23,25,27,38,40","4,10,12,14,15,19,27,28,29,30,31,35,40,42","1,3,6,8,15,16,17,20,28,30,36,39,40,49","1,2,13,15,25,27,36,38,40,49","3,8,13,16,23,26,44,46,49"
"0,18,22,27","3,5,11,15,31,36,37,47","11,27,30,33,34,39,43","3,6,7,12,14,28,29,38,43","6,7,10,13,21,24,30,36,37,38,40","0,7,13,15,16,23,26,29,40,44"
"1,3,4,9,10,16,17,26,27,32,34,35,36,41","14,16,19,37,38,39,44,45,48","1,2,4,6,9,16,25,33,38,39,47","0,10,16,19,22,35,40,45","13,22,24,27,28,32,38,40,46","1,4,25,38,44,45"
"0,7,15,20,35,39,43,49","4,8,12,13,15,16,17,25,37,40,41","7,9,11,15,24,28,29,35,37,42,47","10,12,19,21,24,32,33,45,46,49","13,18,20,25,28,34,38,41,43,44","5,9,10,12,14,20,31,35,37,38,40"
"2,3,5,8,10,11,18,23,24,33,44,45","3,12,18,40,42,45,46","11,17,25,26,32,38,42,49","0,2,16,37,46,47,49","1,3,8,18,22,28,29,36,39,47","3,4,15,24,34,48,49"
"0,2,7,14,15,19,30,35,39,40,44,47","5,25,28,30,31,33,48","15,22,23,32,41,49","0,1,5,6,10,16,18,19,26,32,34,35,40,46","6,10,11,13,14,17,36,40","0,2,8,10,14,15,16,17,30,32,33,39,41,43"
"0,1,4,6,15,27,33,40,42,47","0,7,8,9,10,12,16,18,21,22,34,35,40,42","4,21,23,26,29,30,48","3,6,7,8,14,18,19,20,24,39","6,10,17,30,36,42,45,49","5,21,27,29,32,39,47,49"
"7,15,20,21,22,26,27,36,46,47,49","3,4,12,16,17,21,28,35,38,43,49","3,5,6,12,18,26,33,39,44,47,48","1,10,12,19,22,34,42","2,7,9,16,17,24,27,30,42","6,8,13,16,44,49"
"7,10,12,15,21,30,33,34,35,36,44,45,46","6,7,16,19,30,31,39,43,46,48","0,7,10,12,13,14,15,16,18,22,27,30,32,37,40,45","8,11,12,15,17,18,20,21,24,26,32,42,45","0,8,10,23,25,26,37,39,41,44","7,15,20,26,30,31,43,46,47"
"3,4,9,15,20,29,31,35,36,47,49","4,6,14,17,24,29,35,40,41,44,47","1,2,4,5,9,21,31,33,39,49","1,3,7,8,12,14,26,28,30,37,42,44,46,47,48","6,7,9,10,13,14,15,19,25,26,35,41,48","5,7,9,11,12,24,26,37,39,41,46,48,49"
"11,22,25,28,30,31,35,37,40,45,49","4,12,13,14,27,32,33,35,38,39,44","1,7,9,21,22,28,29,35,40,46,48","5,12,17,20,23,36,37,44,47,48","5,7,10,14,16,21,23,31,47","0,3,7,15,17,21,22,24,45,48"
"4,5,14,15,18,21,22,32,40","2,10,11,23,25,28,29,30,32,33,34,35,37,41,45,48,49","8,11,18,24,44","0,3,4,23,25,31,33,37","11,13,19,26,29,31,34,36","12,13,15,19,34,41,43,45,47"
"5,7,33,45,49","16,18,24,44,46,48","2,12,24,29,33,35,36,41","18,23,33,34,42,44,46","1,2,4,7,9,15,23,39,41,48","1,2,3,5,9,10,12,13,14,20,26,32,35,40,42,44,46,47,48"
"1,2,4,6,20,26,31,35,37,40,47","10,20,25,26,27,31,35,38,45","6,10,14,16,20,25,30,31,32,33,34,38,41,42","3,4,5,10,15,19,23,24,27,36,40,41,45","5,20,24,25,27,30,33,35,36,38,45","5,7,13,15,17,21,26,32,33,35,38,49"
"0,1,5,13,16,17,24,28,33,35,37,43,46,49","5,8,17,24,27,31,33,40,48","6,14,15,18,26,30,34,43,48","3,6,13,17,20,33,36,42,44,46","4,5,13,14,34,36,40,49","3,6,10,15,30,32,36"
"3,5,6,12,15,17,29,31,33,34","9,11,22,24,27,31,49","8,14,17,18,27,28,30,39,46,49","0,2,17,28,36","0,13,22,25,27,30,39,41,42,48,49","9,14,25,31,34,38,44,48,49"
"0,2,6,12,13,23,27,30,32,38,43,45,47","0,15,17,19,23,24,25,26,27,30,31,38,46","1,2,3,4,11,23,29,31,41,43","1,7,8,23,24,25,29,33,34,37,42,44,45,47","1,3,7,18,23,25,26,27,32,40,45","17,18,19,20,23,24,28,31,35,41,43,44,45"
"4,10,18,19,33,44,48","8,9,14,20,25,29,43,47","2,11,21,25,26,37,38,41,44,47","11,16,17,23,30,31,33,36,41,43,45,49","0,16,19,21,22,23,29,32,33,39,46","10,13,15,20,23,27,33,36,40,45,46,48"
"4,9,11,20,24,33,34,36,38,40,45,47,48","3,4,5,7,10,15,16,20,22,23,28,29,34,37","5,6,17,32,36,37,45,47","9,22,26,31,35,44,49","5,7,10,12,18,20,23,24,34,42,43","18,23,28"
"11,13,14,21,24,30,31,34,37,46,47","0,3,15,16,18,23,26,38,43","0,2,4,9,14,20,43,45,47,48","1,7,8,15,16,19,20,31,32,34,43,46","20,23,26,30,34,40,42,43,48","1,3,5,12,15,16,25,30,32,43,49"
"2,4,7,8,15,22,31,39,48","2,7,9,14,20,22,23,28,45,46","3,5,8,9,13,14,23,41,45,47","13,24,28,40,44,47,49","1,7,17,20,21,22,23,28,36,48","2,20,28,42,46,49"
