mg,mo,gm,go,om,og
"19,22,27,30,43","0,13,14,15,21,29,42,44","4,7,30,41","4,18,32","0,29,39,44","11,14,15,17,21,45"
"10,17","1,2,6,10,17,41","5,11,31,34","2,14,29,40","1,10,11,29,47","21,22,31,32"
"6,41","8,13,26,40,49","3,21,22,26,47","2,14,21,22,31,48,49","1,24,31,32,38,44,45","1,2,42,46"
"2,3,42,46","16,35,46","3,15,32,45","3,13,14,22,30,43,47","5,12,19,41,46","3,5,15,26,36,46"
"0,9,32,39,40","10,12,16,48","9,17,19,34,39","31,32,33,39","5,15,16,18,29,35","0,13,27,40,43"
"1,6,12,27,44","3,4,24,36","11,16,17,20,28,30,38,42,44","3,5,6,7,12,15,20,23,45","9,16,29,30,34,37,48","5,14,16"
"7,9,36,38","9,16,18,45","2,5,34,38,42","11,15,17","1,17,21,22,30,36,40,43,45,49","5,11,14,24,25"
"0,18,31,42","11,37","6,12","7,21,24,40,48","22,46","5,7,31,39,47"
"26,44","12,13,18,22,33,39,40,44,45","16,17,25,32","8,16,29","2,20,34,49","8,11,13,18,21,29,37"
"4,37,48","5,15,18,48","4,6","13,14,15,20,24,27,36","6,42","12,22,39,41"
"13,14,17,18,32,39,43","1,19,23,48","1,26,45","11,13,18,28,30,45","1,4,15,18,21,46","20,21,31,44,46"
"1,5,20,22,29,34","1,12,13","13,20,31,35,44,47","0,6,8,20,21,48,49","7,15,18,42,48","6,10,24,32"
"7,25","3,18,29,34,36,40,42","5,18,25,46,47","9,13,17,24,40","4,8,11,16,27,33","5,14,19,45,48"
"11,15,24,29,39,42","19,48","10,30,49","4,8,27,30,39,45","0,2,8,11,19,30,34","3,9,10,12,22,24,35"
"15,16,25,29,40","22,28,37,42","10,22,23,27,31","0,5,6,12,16,27,36,47","0,15,16,36,45,47","1,2,3,9"
"3,19,29,30,43,49","4,10,11,14,20","13,14,17,40,46","0,3,16,36","0,9,19,21,31,34,36,37,41","5,6,9,19,20,27,48"
"5,8,31,32,34,38,43","4,5,12,14,21,30,33,35","14,20,22,29,36,44,47","5,16,22,33,38,47","3,4,6,22,45","8,14,15,16,25,31,35,39,49"
"4,5,8,15,31,37","6,27,28","1,10,32,36,38,40,49","0,26,45,49","1,41,45","6,12,25,28,31,42"
"12,28,34,35,40,42","4,10,11,41,42,48","7,10,32,48","8,24,31,45","6,8,9,12,23,24,31","0,10,30,48"
"4,28,48","3,13,15,30,37","0,15,28,31,45","12,15,30,43,45","10,13,21,22,34",
"5,11,16,29,43","8,32,43,49","11,40,46","10,15,25,29,31,40,42",15,"5,9,11,21,25,46,47"
"2,22,25,27,28,32,38,48","6,10,15,19,23,32,40,42",33,"0,1,8,10,20,30,39,46","0,16,35,42,45","2,7,11,30,32,39"
"2,14,16,22,29,44,46,48","6,7,16,19,32,34,49","0,11,21,22,30,32,33,44","1,9,13,26,34,43,49","8,14,45,46,47","2,3,16,23,38"
"14,27","18,33,46,49",40,"22,41","10,21,31,35,37,39","5,30,39,47,48"
"27,41","2,18,31,34","13,34,35","6,11,13,33,44,45","5,30,39,41","7,9,12,18"
"8,12,28,34,37,45","27,31","12,14,21,32,43,46,49","6,16,17,20,28,30,39","26,37","20,43,48"
"2,10,27,28,30,42,43,49","25,27,28,31,34","8,30,46","3,38,39,43,47","2,40,41,46","17,22,30,37,38"
"14,34","12,38","0,5,21,23,24,26,49","4,15,27,44","17,25,26,43","9,13,14,27,30,34,38,42,43,48"
"5,19,42,48",38,"18,19,21,25,26,31,32","17,35,43,45,49","14,17,26,29,45","10,25,34,42"
"16,30,38,45,47","0,1,4,5,28,39,44","11,13,14,15,20,22","8,29","0,12,32,35,45","1,8,20,29,30,33"
"0,5,13,22,26,30,31,39","5,6,13,24,31,39,47,49","0,15,26,29,30,38,48","18,21,23,26,27,29,31,44","16,19,44","3,10,13,19,21,25,31,37"
"1,11,14,19,28","2,15,18,23,48","7,16,17,30,40,45","1,7,10,16,17,30,36,46","24,25,26,30,32,40","2,4,18,20,30,42,44"
"3,8,17,18,22,25,28,35,45","2,29,31,38,39,46","4,10,16,21,38,39,46","1,11,21,43,47","20,21,22","0,4,42,43"
"21,22,37,44","12,47","36,37,40,41,48","29,41","8,16,23,39,46","4,16,24,40"
"1,4,6,24,34,38,48","5,8,13,15,19,38","11,16,18,25,27,34,42","27,28,43,48","12,22,24,26","22,43"
"11,24,44,45,48","4,21,23,29,35,46","18,32,37","13,16","3,16,35,43",28
"16,17,33,46","6,14,15,38,40","6,42",3,"5,12,37,48","9,14,15,31,37,46"
"33,35,44,47,49","5,15,23,25,36","9,17,25,33,44,49","8,26,30,36,37","7,14,19,39,41,49","37,40"
"5,6,17,30,32,39,49",2,"6,16,21,29,34","22,26,27,40,42,49","27,28,32,34,36,39,40,41","16,26"
"4,32,40,45,49","0,23,24,33,37,38,44,46","4,10,13,30,38,41,42","7,9,16,21,23","8,29,30,32,44","4,13,21,25,26,48"
"15,17,20,23,31,33,43,45,49","6,26,31,38,43","4,14,18,39","4,33,37,40,42,44","2,8,12,21,36","1,7,12,20,38,40"
"0,33,39","3,15,17,24,26,37,38,42,48","2,24",9,"1,18,48","23,33"
