mg,mo,gm,go,om,og
"1,2,6,7,9,11,15,21,22,25,30,31,33,34,38,43,47","1,5,9,11,21,24,25,30,40,49","11,20,24,28,31,35,39,48","2,5,7,9,11,15,18,20,24,26,32,34,40","1,4,11,20,23,27,31,32,35,40","4,15,17,23,33,37,43"
"3,7,19,20,23,29,33,46,47","0,1,4,7,10,14,16,27,28,33,34,40","0,7,11,14,16,17,19,23,25,27,29,31,39,40,47","1,9,10,11,15,26,27,28,33,37,45","0,1,9,11,14,20,24,25,37,38,41,43,46,49","1,2,30,35,43,48"
"6,10,14,17,23,25,30,35,36,37,43,48,49","2,4,7,14,26,30,34,35,39,43,47","0,3,6,10,12,14,17,21,24,30,37,43","1,8,14,22,31,34,41,42,43,45","2,9,12,13,14,16,17,40,47,49","0,6,7,11,12,16,17,24,25,34,35,41,42"
"2,5,6,7,15,17,28,29,30,35,36,40,41,42,48","4,6,8,9,15,22,24,26,28,29,31,32,34,41,44","1,6,7,11,17,20,24,29,33,36,38,44,49","5,8,9,15,25,37,38,42,45","7,12,28,30,32,35,36,40,48","8,13,15,19,27,29,32,33,40,41,44"
"6,11,12,26,40,43,46,49","0,7,10,12,14,24,29,30,35,45","12,14,22,30,32,36,41,46,49","0,7,15,23,31,33,37,40,43","1,2,3,8,12,16,18,32,37,48","6,7,13,15,20,32,35,38,42,44,46,48"
"12,21,23,25,36,38,39,40,43,46,47","7,13,16,35,39,47","3,6,10,11,13,16,19,20,21,30,40,43,44,45","23,31,32,40,41,42,43","0,12,13,15,25,26,30,39","0,3,11,20,21,27"
"2,3,5,14,15,16,19,26,32,36,44,48","11,16,26,29,36,38","0,2,3,4,32,34","2,4,10,18,22,23,26,30,31,34,37,41,48","3,7,9,13,15,19,27,29,30,35,41,45,46,47","7,10,17,19,22,24,39,40,42,44,47,48"
"1,3,12,15,17,20,21,22,26,29,36,39,41,42,43,45","3,6,7,9,14,16,25,28,33,36,37,45,46,49","0,1,3,15,21,42","2,4,6,16,31,42","1,2,4,5,7,11,17,20,23,39,43","0,4,13,14,18,24,31,34,38,45,47,48,49"
"12,27,42,43,45,49","4,10,14,20,31,35,38,41,43,44,47,49","26,27,32,34,36,39,40,45,46","3,15,19,24,27,29,30,34,38,42","3,20,23,34,41,43","2,3,10,12,14,17,19,26,29,34,40,41,43"
"10,13,15,27,29,30,34,37,41,42,46","1,2,6,18,21,33,39,46","0,10,12,14,17,19,22,26,27,32,33,37,41,42","11,14,17,26,35,44","0,3,7,23,28,29,38,46,49","0,1,3,11,15,18,21,22,23,25,30,34,36,37,38,40,49"
"2,5,9,11,19,23,27,29,37,39,41,44,48","10,13,15,24,26,28,30,31,34,47,48","2,9,15,25,26,41,42,46","6,8,11,19,20,31,32,33,36,38","1,4,8,10,16,18,20,25,27,28,29,30,33","1,6,21,24,28,30,35,38"
"0,1,3,5,18,23,24,26,29,31,38","0,1,7,15,16,18,20,41,45,46","0,4,10,16,22,24,35,49","2,5,9,16,22,28,35","0,6,17,18,27","0,1,9,10,13,20,23,28,29,31,32,35,45,49"
"2,4,9,15,16,25,29,35,38,39,42,45,48","2,3,4,5,14,18,21,24,37,38,46,47,49","4,5,7,8,22,26,39,41","2,8,13,23,28,36,38,46","4,13,19,26,29,36,38","13,18,19,26,29,30,31,32,35,38,40,47"
"5,13,19,32,37,41,48,49","2,5,6,12,16,33,41,43","9,13,14,18,25,33,34,35","3,4,7,11,12,14,15,19,28,30,40,41","5,10,15,26,31,33,34,40,42","12,23,35,43"
"1,2,4,9,13,18,25,30,35,38","1,2,14,18,25,30,34,35,36,38,40,49","2,6,20,33,43,44,47","7,8,16,18,19,32,38,39,40,41,42,43,44,45,47","1,2,4,7,8,12,14,15,20,23,28,30,34,43,49","2,9,13,17,30,40,42,47"
"7,10,17,29,31,39,41,42,43","5,6,13,14,17,23,26,36,39,44,49","0,3,6,7,9,12,17,33,38,39,44,49","0,3,4,9,17,19,27,31,39,49","3,10,11,16,20,24,25,30,34,37,45","0,1,3,4,8,13,17,19,23,28,29,34,35,41"
"1,5,11,24,49","2,4,10,15,17,19,24,25,30,36,42,45,49","6,12,17,18,28,34,41,46","2,16,18,23,24,26,28,29,30,32,34,38,43","1,5,6,7,11,13,19,22,28,34,37,44","7,11,14,16,22,23,29,32,36,37,39,42,44,49"
"1,2,3,9,15,16,24,27,29,31,35,43","2,7,11,25,26,31,37,39,42","2,3,7,15,27,36,38,39,43,46,47","0,2,6,8,14,15,40,41,43,49","15,16,19,32,33","9,15,22,23,27,30,31"
"13,16,24,28,30,40,42,44,48","4,10,11,26,27,40,43,44,45","11,14,22,28,29,30,34,46,48,49","7,9,12,20,24,35,44,48","9,11,12,14,22,34,36,46,49","0,6,14,16,22,37,38,48"
"1,5,9,23,38,43","6,12,16,17,37,48","1,6,10,13,20,25,29,40,42,46","3,6,8,12,15,20,22,23,28,30,31,32,33,38,49","16,20,22,36,38,41,48","8,10,13,14,15,21,23,49"
"0,3,5,14,19,40,41,44,46,49","0,1,7,8,10,14,15,19,23,31,36,37,38,39,40,43,45,46","1,7,25,34,35,36,49","4,5,11,20,22,24,32,35,40,45,48","8,11,22,24,32,34,39,48,49","0,10,18,19,20,23,27,29,41,49"
"2,5,7,23,25,28,35,38,43,45","25,30,37,38,43","0,5,7,31,33,46","5,9,10,19,23,31,36,38,42,48","0,9,12,23,28,29,42,46,48","38,41,44,47"
"4,9,11,12,18,22,25,27,34,36,45","16,18,19,20,24,27,28,32","0,7,22,23,42,46,48","6,9,16,17,18,24,34,45,48","3,25,26,30,37,38,48,49","2,6,11,19,20,24,25,28,29,33,34,45,49"
"1,22,25,26,37,42,45,47,48","0,7,8,9,14,21,29,30,31,36,39,43,48","1,2,5,10,11,19,21,25,27,28,31,37,47","0,9,11,13,15,16,17,19,20,25,33,35,37,42,45","15,20,25,29,30,35,39,43,45","4,5,6,12,16,19,21,29,31,32,34,36,43,44"
