mg,mo,gm,go,om,og
"4,43,44","13,15,21,26,27","1,15,18,20,41","2,3,22,27,28,35,37,44,46,47","9,16,29,31,49","2,13,30,31,34,36"
0,"27,32,36","15,21,22,27,43","29,34,37,38,39,42","12,24,44","6,11,47"
"9,10,24","13,18,32,36","20,39","0,17,28,31,43,47","16,20,25,36","0,16,29,42,49"
"12,26,35,38","12,13,29,34,38","9,17,26,31,33,34,48","10,28,34,36,44","11,33,46,49","0,13,15,32,38,46"
"8,13","4,27","0,20","14,16,17,18,21,23,24,27,29,37,42","4,18,25,40,41","32,41"
"18,30,33,34,43","11,24,27","9,10,11,34,35","28,29,33","7,19,22,48,49","9,11,17,18,36"
"10,14,27,35,39","6,15,33,35,41,45,49","8,17,18,22,32,44","1,6,8,15,19,22,35","6,13,24,49","6,7,8,32"
"10,15,37,43,44,45","5,14,19,21,24,26,43,47","12,32","6,9,17,18,22,34","9,19,27,33,36","15,17,24,44,45"
"6,23,25,26,27,32,34,43","17,24,38","4,18,30,45","6,35","21,27,33,35,37,39","6,14,32"
"3,5,9,16,19,21,39,40,48","0,7,9,32,44","2,9,17,18,26,35,42,49","5,13,15,19,23,29,38","9,12,13,21,31,37","7,15,16,31,32,42,47"
"5,12,18,31,36,39",14,"2,6,7,15,22,41","16,21,39","11,20,22,26","3,31,36,42,46"
"5,11,22,27,39","3,10,19,20","11,13,29,33,36","1,5,11,37,38,45","5,28,32,34,48","11,15,29"
"7,32,33,42,44","1,9,15,21,24,28,33","3,10,18,22,24","22,43","3,15,47",
"11,16,17,25,31,34","6,9,14,21,25,39,42","4,17,26,32","0,3,13,15,16,23,27,39,45","0,2,3,17,26,29,36,46","9,13,21,26,32"
"23,33,36,37,38,39,40,42","22,25,49","6,16,32,43,46","8,16,17,21,47","7,10,13,24,25,27,35","4,23,33"
"0,1,10,21,38","12,20,21,28,48","7,20,48","3,7,9,11,18,24,30,48","0,6,12,33,34,35,39","6,9,13,21,29,35,41"
"14,25,29,30,33,43,44,48","0,2,17,22,27,31,37","9,13,23,31,32,33,46,47","2,9,28,33,35,36,49","24,31,32,34","4,10,13,14,17,19,21,23,26,30,40,42"
"3,6,9,13,24,26,33,42","13,24,25,42","13,33","5,7,16,31,40,43,49","8,16,41,47","2,4,7,14,18,31,32"
"0,6,8,9,12,32,34,47","4,32,34,42,43,45,46","5,10,20,39","5,17,26,35","2,24,25,32,39,41,48","4,7,15"
"22,35,39,40,49","5,7,38,40","9,27,38,43","16,24","7,11,25,49","6,9,25,34,39,40"
"0,2,4,15,18,33,39","2,10,20,27,39,41,43","26,30,32,38,47","25,35,45,46","11,15,20,23,29,35,41,43","30,37,42"
"1,30,40,44,49","8,9,39,43","9,15,25,28,30,32,36,46","13,15,16,22,27,30,39,45","0,7,12,13,15,37","4,10,14,44,46"
"1,6,10,12,26,33,48,49","5,10,36,37","11,19,29","39,42","14,16,30","0,6,7,12,21,31,33,42,44"
"16,32","20,26,28,41,42","8,14,25,29,37,42","14,16",32,"4,9,13,24,32,38"
"12,31,41,43,48","1,6,14,16,18,26,43","2,17,28,44","7,23,26,29,41,42,43,47","5,7,8,12,17,27,31,36,40,48","4,15,19"
"21,23,29","2,4,14,18,19,28,30,41,46","8,13,16,28,34","19,42,44","13,14,17,42,45","20,28,47"
"3,9,13,20,37","10,13,27,30,33,35","3,8,17,22,27,45","13,16,27","0,7,23,24,35,38,44,49","18,24,30,47"
"1,19,26,35","7,8,14,24,41,43,46","6,8,11,44,47",38,"0,1,4,5,16,20,26,29,37,47","0,4,13,21,26,34,43,49"
