mg,mo,gm,go,om,og
"6,7,17,22,25,26,31,45","1,15,18,22,24,26,28,30,32,49","5,7,8,12,15,19,24,25,26,32,34,35,44,49","5,7,9,11,26,28,29","2,3,4,8,16,25,29,30,31,32,44,45,47","4,6,8,13,14,16,18,23,44,47,48"
"5,17,26,30,35,37,40,46","2,10,13,15,17,22,23,24,27,31,33,36,39,41,43,49","2,10,13,16,27,29,31,34,41","10,18,21,26,28,34,46,48","0,9,10,20,28,29,36,43,48","4,9,19,33"
"1,3,24,27,29,36,39,40,41,44,45,47","0,5,6,15,17,19,25,28,37,39,43,44,47","3,5,7,10,12,13,18,23,25,28,33,34,37","2,5,11,12,20,31,40","1,4,6,12,27,34,36,37,39,45,48","2,5,12,14,20,28,33,36,49"
"2,3,4,16,20,26,29,35,39","0,4,12,16,18,19,26,27,28,46","2,3,7,8,14,17,20,21,27,29,31,46","5,16,17,20,22,24,28,31,32,39,46","5,7,12,14,18,26,28,43,44","5,13,15,18,24,27,29,31,42,43,49"
"4,7,8,9,25,27,31,32,33,34,36,42,46,47,49","0,2,7,12,14,23,35,37","3,4,8,9,12,27,29,31,33,35,40","0,1,6,10,13,14,15,20,34,36,43,46","3,7,8,11,15,17,26,37,47,48","7,8,11,12,14,16,17,28,31,44,49"
"0,2,9,13,14,16,17,21,30,49","3,5,6,7,12,15,24,31,43","1,8,10,11,21,42","2,3,7,10,13,16,30,31,32,33,34,35,36,41,42,45,46,47","2,5,9,10,20,23,28,38,39,43,48","0,2,3,15,16,17,22,23,24,27,30,31,35,36,44,48"
"6,12,14,20,25,31,36,40,44,47,48","2,10,20,24,29,34,39","0,6,7,9,13,33,34,38","0,10,11,24,27,36,39,40,41,47,48","2,5,10,11,12,17,25,39,40,44,47,49","4,13,14,20,21,35,40,41,44"
"0,2,3,6,15,16,18,25","3,4,7,9,18,28,31,40,42,46","0,4,12,21,25,34,39,41","4,9,12,17,24,34,37,41,43,47","4,5,7,9,11,17,27,29,36,42,45,48","0,5,9,10,12,17,30,36,41,42,43,44,46,48"
"0,3,4,5,12,14,16,22,25,26,29,31,33,43,45,46","0,4,12,17,22,29,31,34,39,49","4,11,16,23,31,42,43,47","0,4,12,14,29,31,34,40,41,43,45,46","19,21,23,25,28,29,30,43","10,14,17,18,20,21,29,32,37,38,44"
"4,6,12,16,19,20,28,31,34,39,44,45","1,5,7,10,21,27,28,31,35,45","4,5,22,23,33,34,36","1,7,9,13,18,24,28,30,31,32,35,42,49","7,13,18,23,28,29,33,40,41,43","0,7,9,17,21,33,35,42,44,45,47"
"1,2,5,10,13,14,16,21,29,35,38,41,42,45,49","1,5,6,11,12,22,30,31,33,35,38,40,43,45,47,48,49","10,11,12,23,30,38,49","7,8,11,16,17,27,28,29,46,47,49","1,6,9,14,15,25,28,35,39,42,44,45,46,47,49","1,4,5,6,16,19,22,30,35,36,37,41,45,47,48"
"5,8,10,18,23,26,27,33,42,45","4,6,7,14,16,18,19,41,45,49","13,14,25,26,27,28,31,34,42","4,27,28,33,37,40,46,47","10,14,15,17,21,22,25,26,27,29,34,38,41,47","0,2,6,10,14,19,20,24,26,46"
"0,2,4,7,10,12,25,32,38","2,3,6,16,22,23,27,29,39,41,42,47","6,8,9,12,30,33,43,44,45,48","2,4,7,30,35,36,37,38","3,4,5,8,10,16,18,23,26,30,34,36,43,46","2,7,8,18,19,26,28,32,36,45"
"1,2,6,11,14,15,21,28,29,38,45,48","9,13,15,18,30,35,36,44,47","5,10,17,37,43,48","0,3,6,13,23,27,33,42,43,46","1,13,17,19,21,24,36,41","4,5,9,13,14,18,19,22,25,27,29,33,35,38,42,43,47"
"3,11,20,25,28,32,34,40","3,10,11,22,23,24,33,35,38,46,49","5,6,8,10,13,16,17,18,24,27,36,40,45","0,2,4,6,8,11,13,23,25,27,37,39,44,47","4,11,18,25,38,39,41,42","4,8,15,16,18,28,37,38,41,46,48"
"0,17,23,27,30,32,33,35,40,42,45","4,10,11,22,26,30,42,44,45","7,13,18,22,23,24,26,33,42,45,48,49","3,5,14,20,24,30,49","0,1,2,5,13,25,33,37,42,45","4,19,21,28,30,32,36,37,40,44"
"1,8,14,18,20,23,28,30,31,39,40,42,46","0,12,21,23,24,28,31,34","3,5,7,8,9,10,19,20,24,25,33,39,44,46","0,4,5,10,14,19,22,34,36,38,43","3,11,12,23,25,26,27,34,35,37,40,41,42,46","3,5,10,18,25,30,35,36,37,44"
"3,13,14,20,21,23,24,26,30,34,36,40,42,44","4,6,7,11,13,18,19,20,21,26,30,32,40,41,45,47","0,1,5,15,19,21,25,29,38,40,44,49","4,5,7,8,9,24,28,29,30,31,35,36,37,48","1,2,8,22,26,27,30,47","3,7,10,18,31,32,36,37,40,45"
"2,14,15,23,28,33,34,36,41,42,45,49","3,9,12,14,18,23,25,26,32,36,38,39,41,42","7,11,16,19,24,29,33,34,44","0,3,8,12,13,14,16,17,22,25,27,30,33,34,36,43","0,3,7,11,13,17,18,19,23,29,31,32,48","1,9,25,37,41,43"
"0,16,17,18,24,26,32,33,38,39,40,47","8,13,18,24,28,41,42,44","9,21,22,24,25,46","1,10,11,12,13,15,20,22,28,30,45,48","2,3,11,17,25,41","16,24,29"
