mg,mo,gm,go,om,og
"8,16,17,18,21,36,38","11,35","15,28,46","3,9,14,23,35,41","18,38,42,47","1,2,4,7,8,19,22,45"
"3,4,8,10,16,28,48","3,16,19,23,31,33,40","8,38","0,16,30,45,48","10,46","16,19,49"
"19,29,43,44","8,13,20,32,43","25,29,31,33","0,5,6","7,12,39","12,17,19,25,41,42,47"
"4,9,28,33","6,8,9,13","1,5,8,22,30,38,39,41,45","8,17,25","1,20,21,27,28,40,42,45,46","0,6,17,22,26,27,31"
44,"26,43","1,3,8,9,17,23,25,43,47,49","0,13,29,31","24,25","22,25,39,43,44"
"3,13,26,28,38,40,49","17,25","9,11,16,19,26,40,41,48","11,23,38,45","17,19,21,23,24,27,28","2,7,18,31,35"
"24,25,34,36,46,48","7,11,14,17,29,47,48",13,"3,9,32,43","3,19,39,40,42,44,48","2,10,13,28,38,45,49"
"11,14,18,19","2,34,43,48","17,40,44","0,5,7,27","6,9,17,20,29,40","7,19,28,29,30,31"
"1,3,4,8","13,32,34","0,1,8,19,30,31,44","0,14,17,25,35,40","2,3,15,20,21,29,35,43","3,11,18,35,39,44"
"4,5,17,23,29,32,36,43","7,9,12,17,20,27,28,29","3,17,18,30","16,36,38,40","3,9,11,46","0,6,20,42"
"11,26,32","1,24",1,"6,12,20,41","17,18,21,26,32,38,47","15,18,19,20,28,31,38,47"
"5,11,13,33","9,12,37","7,10,11,24,41,45","8,15,16,29,31","0,6,34",5
"15,20,35,37","2,48","20,27,42","2,28,41,44","9,11","10,28,32"
"6,15,23,45","27,30,33,38,39","5,11,33,42,45,48","6,21,40","2,3,8,25,36","4,24,31,42,43"
"15,17","18,30,31,34,35,39,44","7,15,47","14,15,20,23,42","6,31","0,8,14,19,26,45"
"0,14,19,43","8,24,29","12,13,14,18,19,21,22,23,40,48","10,25,32,45,46,48,49","17,19,24,26,29","11,14,21,29,37"
"5,20,25,41","22,34,45,47,49","0,1,26,44,47","1,24,28,30,41,45","1,22,35,41,48","1,9,11,20,25,29,31,46"
"4,7,9,17,34,36,40,47","5,7,10,15,26,29,36,39","0,9,14,17,30,45","2,3,28,34,41,42,45","5,6,9,34,39","3,8,22,24,26,35,40"
"9,15,26,34,39,42","0,10,36,43,44","0,7,38","5,8,10,25,31,42,43,46","14,28,35",
"5,8,15,28,43,44","5,6,15,22,32,35,44","2,7,15,30,35","0,1,2,7,10,14","1,21,34,36,37,40,42,48","28,29"
"12,21,32,33,34,39,43,48","3,7,8,30","12,16,29,30,32,35,43,44","9,10,16,23,28,29,44","2,9,21,25,36,38,41","10,14,43,48"
