mg,mo,gm,go,om,og
"1,3,16,33,34,42","20,40","7,24,25,33","5,13,25,28,35,37,49","4,7,18,19,27,28,44","4,6"
"12,22,33","13,14,15,44,49","0,4,6,8,16,17,19,29,47","4,12,13,34,38,43","8,20,25,26,31,48,49","16,19,34,35,36,38,39"
"11,44","22,23,25,31,40,48","20,23,48,49","15,19,20","22,35,46","38,41"
"16,17,21,40","9,12,17,18","0,14,26,41,43","9,29,41","4,30,31","13,20"
"1,4,17,19,22,24,35","0,3,5,6,8,16,34,38","4,8,10,19,28,29,35,41,42","0,4,30,32,35,37,42","15,28,48","1,4,5,19,29,44"
"8,15,46","9,14,22,29,43","7,11,30,37","4,8,14,34,41,49","4,9,19,24,26,27,39","0,10,26,28"
"1,6,12,13,14,24,45,48","21,31,35,36,39,42","6,16,19,27,37,41","0,22","4,12,28,30,32,42,46","9,10,26,27,42"
"0,5,13,17,30,31,37,39","0,36,40","31,35,37,44","21,22,24,30,32,33,37,39,48,49","18,20,37","14,26,32,44,45,49"
"1,4,11","1,12,14,25,41,43,45","5,13,24,28,29,38,46","13,25,32,43","4,18,19,21,25,37","5,40,43,46"
"10,25","5,10,17,32,34,37,44",,"6,9,18,21,27,43","3,5,30,35,37","3,9,41,43,49"
"4,16,23,33,42","10,36","9,16,31,40","5,6,12,16,18,26,34,37,39,48","9,10,13,24",23
"5,23","19,23,24,27","2,8,14,18,25,28,35",25,"16,24,26,30,47","23,31,39,40,47"
31,"6,13","1,6,13,14,16,23,26,30,35","39,40,46","3,8,24,26,36","1,10,20,30,40"
"8,12,28,39","10,13,14,21,29,32,34,37,47","6,7","3,20,28,33,47","1,12,13,26,39,41,45","0,1,8,14,18,26,43,46"
"3,11,12,23,26","19,32","6,19,37,41,45","7,13,14,25,31,36,46","1,5,8,13,16,21,25,31,37,49","5,14,15,16,26,28,31"
"29,38,45","4,18,33,42,48","5,19,38,44,46,49","14,33,38,40,45","1,28,33,48","2,18,25"
"1,6,10,12,21,24,35,36,42","11,14,18,20,23,33,38,45,47","0,3,10,17,29,34,40","1,14,20,23,27,34,38,39,44","4,20,24,40,48","10,21,23"
"1,16,27,29",42,"3,4,7,19,27,42","26,35","3,9,28,31,34,48","32,37,43"
"11,18,19,21,23,24,41,43","0,7,8,25,28,29,45","18,22,35,37,46,48","13,15,22,39","3,15,16,22,39,48","9,10,27,32,35,43"
"1,4,6,14,15,17,39","0,5,8,32,34,35,41","4,18,33,42","1,4,32,41","11,14,35","2,21,23,25"
