mg,mo,gm,go,om,og
"6,8,10,18,24,28,31,40,46,47,49","11,13,16,21,22,29,32,41,44,47","14,19,24,27,39,40","4,7,18,21,22,26,33,38,40,49","6,8,10,21,23,28,43,45,49","7,8,9,10,13,14,18,22,28,36"
"5,6,8,14,15,23,26,28,31,38,46,48","2,4,8,11,14,17,19,22,23,28,37,41,45","4,7,17,19,26,28,30,39","6,12,20,21,28,30,31,41,43,45,47","9,10,11,13,15,18,19,27,29,35,40,45,47","5,7,17,20,30,31,33"
"13,16,19,23,35,37","4,5,12,17,33,45,48","3,4,8,10,21,24,25,34,35,41,43,48","3,7,8,21,30,31,48","1,19,23,32,36,39,48","7,13,18,21,25,27,30,31,33,42,43,45"
"2,8,17,22,28,33,34,38,44,45","20,22,24,28,32,34,37,40,46,48","5,12,13,24,25,32,36,47","33,37,44,45","15,21,24,32,37,42,44,46","2,23,31,32,36,38,41,44,45,47"
"1,2,9,16,24,30,32,40,47,48","7,8,10,12,19,23,26,36,40,45","5,7,10,19,23,27,33,36,41,46","8,11,14,19,21,28,44","1,2,14,17,22,25,29,30,42","0,13,23,27,28,31,32,33,42,43"
"3,4,5,8,11,17,18,19,21,22,29,34,38,39,40,43,47,49","6,11,15,18,21,31,32,34,35,43,46,48","1,5,7,8,10,13,21,25,31,34,38,41,46,49","1,18,19,21,25,26,30,42,44","2,12,13,18,26,28,41,43","15,18,30,31,34,35"
"10,13,21,27,40,41","0,10,21,25,30,38,40,41,42,43,47","0,1,8,11,15,17,20,23,29,34,45","11,12,14,16,20,21,27,31,34,37,40,45","5,9,18,20,28,32,34,40,42,46,49","1,8,9,18,21,25,41,48,49"
"1,4,5,15,17,21,23,31,43,47","7,13,16,19,22,25,38,40,42,44","13,14,22,32,35,41,46","0,1,2,9,12,13,14,15,18,22,23,27","4,7,11,15,22,23,25,29,30,31,33,34,35,44,47","0,2,14,27,35,43,44,45,49"
"2,5,6,8,9,10,16,19,25,32,33,35,46,47","0,15,17,20,31,35,44","0,1,3,5,8,9,10,11,12,16,17,22,24,30,31,44,49","0,6,12,13,23,28,29,37,42,47,49","1,4,9,10,11,13,16,17,18,23,38,42,49","2,4,14,20,24,31,34,48"
"8,14,23,26,27,41,44,49","1,6,8,31,41,44,49","4,8,15,22,24,35","0,6,12,21,29,34,38,40,44","20,21,24,31,33,39","7,16,20,23,24,28,40,44"
"2,4,5,8,15,36,37,41","0,1,8,10,15,24,30,31,37","0,6,8,13,23,32,46,47","0,17,22,23,24,28,31,35,37,41","4,6,10,15,17,21,26,33,38,46","12,20,25,30,31,38,48"
"6,8,14,15,22,36,46,49","1,7,8,17,29,33,34,35,39,41","5,15,19,20,30,33,36,43,47","12,13,18,21,24,29,41,42,48","0,1,5,12,16,22,26,27,31,32,34,37,38,42,47","4,6,17,20,22,30,35,37,39,43"
"3,8,18,26,27,35,39,42,43","5,11,13,18,22","26,41,42","10,16,17,19,23,33,35,37,45,48,49","2,4,13,14,17,18,23,25,28,37,41,44,49","1,6,7,8,9,11,15,17,18,30,34,39"
"3,5,7,10,18,23,26,30,31,36,37,40,42,44,45,46,49","1,5,8,12,16,19,27,30,33,34,45","2,6,15,21,24,30,34,35,44","0,2,4,13,17,18,20,21,31,33,35,45,46,48","0,7,12,15,19,23,29,31,32,34,35,39,44,45","7,8,11,13,42,44,46,47"
"0,7,25,29,40,45,47","4,12,16,22,23,29,32,35,43,46","1,9,11,17,22,23,43","0,7,8,15,20,21,22,26,27,30,36,43,44,47,49","1,20,25,32,36,45","4,6,7,18,21,22,25,27,38,41,46,47"
"6,9,11,13,17,18,30,36,41,49","1,3,7,10,13,20,24,26,41,49","1,7,10,11,20,21,26,34,35","5,12,15,22,25,26,28,44,45,47","5,8,10,19,24,28,43","7,14,15,30,34,43,47"
"8,26,27,28,37,40,42,45,47","8,11,17,22,23,27,32,40,41,46,47","2,4,8,18,21,22,26,31,33,34,38,45","9,16,26,27,28,33,34,35,37,38,39","0,7,13,14,23,31,35,36,45","6,12,16,20,25,27,40,44,48,49"
"1,6,8,14,21,32,35","4,8,10,12,20,49","3,5,7,15,18,20,25,26,31,34,36,43,44","1,11,12,19,31,38,42,43,46","1,2,8,11,16,20,22,23,28,29,30,38","10,12,13,25,30,31,37,47,48"
"16,17,22,27,28,36,41,47","1,5,6,8,12,25,28,29,45,48","0,5,12,13,15,19,24,28,33,39,41,44,45","0,2,5,6,12,14,22,25,27,32,33,37,38,42,48","5,12,32,35,39,42,44,47","0,5,7,11,13,25,26,28,32,37"
"0,1,4,11,18,19,27,28,38,39,41,43","1,2,13,15,24,35,42,43,45,48","2,5,8,19,23,31,35,44","19,25,36,40,44,47,48,49","1,4,7,13,25,29,34,35,38,40,41,46","4,5,12,17,19,20,21,27,28,35,42,45,49"
"6,11,15,17,21,23,24,26,43,44","6,9,14,17,21,24,27,29,35,38,40,41,45,47","26,32,39,40,44","1,8,9,10,11,16,19,24,30,32,37,44,47,48","3,8,15,17,23,25,27,35,41,43,47","1,6,13,14,26,38,43,46,48"
"2,5,13,15,16,38,40,44,48","0,3,9,10,23,38,43,45","5,6,7,17,20,22,25,28,29,38,40,41,43,48","2,6,14,19,22,28,30,33,40,49","0,5,6,20,23,32,39,43,48","0,1,2,4,5,6,9,11,13,14,22,23,33,35,41,44,48"
