mg,mo,gm,go,om,og
"8,9,13,16,20,26,39,40,46,47","1,2,9,15,18,20,23,27,33,41,42,43,47","3,7,15,21,22,35,38,41,42,48,49","1,3,5,6,14,18,19,30,32,33,34,39,42","7,10,22,24,25,26,28,35,47,49","5,7,9,34,38,42,44"
"2,12,21,22,26,30,34,37,42,43,47","1,8,13,14,18,27,31,43,48,49","4,6,19,27,29,33,34,36,45,46,49","1,8,11,21,25,27,31,33,40,42,44,45,47","0,1,10,13,19,23,29,31,38,49","0,1,2,29,30,33,38,39,47"
"13,19,22,25,27,29,35,37,39,40,43,44,46,49","8,9,14,17,21,24,30,35,37,38","1,4,5,8,15,21,24,31,39,45,47","1,7,10,11,15,21,26,29,31,32,48","0,10,11,16,27,28,34,37,39,41,42,44,46,47","5,32,36"
"0,8,9,15,17,20,21,24,26,28,42,43,45,46,48,49","4,5,9,14,16,23,37,38,42,47,48,49","4,14,23,31,33,34,40,45","15,18,19,29,35,36,41,42,43","5,8,11,17,23,48","0,8,9,11,28,30,32,45,48"
"1,2,3,4,5,7,17,28,37,45","6,9,16,30,31,32,40,44,45,48","4,5,12,20,21,22,26,28,31,36,39,40,41","4,6,7,9,15,23,30,33,42,44","3,11,13,19,22,26,33,39","4,10,11,23,27,30,35,37,39,40,41"
"2,4,14,18,26,31,35,37,43","3,11,12,13,20,21,25,29,31,33,39,40,41,43,47","4,9,12,14,17,24,39,40,45,47,48","0,2,13,29,33,37,41,48","3,9,11,18,19,22,24,28,32,34,38,43,46,48","0,7,18,21,23,25,26,27,37,38,43,45"
"1,12,15,16,24,25,27,29,41,44","8,10,13,15,16,18,29,34,36,41,45,47","15,27,31,32,36","7,13,19,20,25,27,29,30,32,35,40,43,48","4,9,12,13,29,41,47,49","0,4,10,14,16,18,25,26,31,33,37,39,42"
"0,7,18,19,22,25,29,36,47,48","0,7,21,27,30,33,34,35,36,37,42,45","4,7,17,21,23,29,32,35,41,42,46,48","0,5,10,13,17,28,39,41,48","7,13,15,22,29,31,35,36,41,45","2,4,6,9,10,22,24,27,31,33,46"
"2,8,12,15,23,25,34,37,44,46,48,49","3,9,23,31,36,49","0,3,8,19,20,26,30,38,45,46","3,13,16,20,22,29,31,37,41,47","1,2,6,11,20,23,28,31,33,34,35,45,46,48","1,14,24,29"
"5,9,14,21,40,41,45,49","5,6,10,17,20,21,27,35,36,37,45,48","0,3,9,12,17,18,20,22,24,26,47","0,3,7,21,25,34,35","0,2,3,4,8,14,20,21,31,38","4,23,27,28,32,33,34,45,48"
