mg,mo,gm,go,om,og
"2,14,22,23,38","29,39","16,25,32,44","0,13,23,24,28,42","3,10,24,29,38,41,47","0,19,23,30,45"
"6,14,28,29,31,49","3,7,11,19,20,33,39,45","7,15,20,27","12,17,24,30","30,32","3,4,17,39"
"10,11,15,20,27,35,37,45,46","8,17,20,28,36,42","0,7,23,31,34,36,37,41","2,4,11,30,48","13,20,36,38,40,47","2,16,17,20,44"
"8,17,24,28,45,47","0,9,11,17,24,29","37,38","1,9,13,44,46","1,4,12,16,28,40,45","15,24,30,35"
"19,29,31,32,37,39","3,6,14,17,33,39","14,18,23,29,47","1,36,49","23,28,34","2,11,35,36,41"
"5,7,9,29,37",45,"5,19,42","13,14,16,21,23,24,27,29,36,48,49","8,14,22,44","12,13,30,39"
"12,17","6,15,18,22,46,48","1,19,20,25,30,38,44","8,10,16,21,30,38,45","4,6,24,32,42","22,24,31,48"
"1,2,22,31,35,38,42,49","15,33,37,42","5,8,20,23,24","35,37,46","1,10,19,31,44,47","10,35"
"7,19,42,44","5,17,18,22,32,45","3,30,31,35","15,18,19,29,32,36","2,18,20,25","6,31,32,36,42"
"9,20,30,46","13,25,36","5,9,10,20,35,37,47","27,37,47","3,15,20,25,32,44,48,49","3,10,14,16,25,32,38,44"
"9,18,20,24,45","0,7,19,24,25,35,45,46,48,49","2,22,33,47","7,9,11,14,24,42","24,34,36,41,42,45,48","6,39"
"34,44",,"2,19,25,37,48","4,24","1,3,24,25,34,40,44,48,49","2,10,17,27,37,41,43"
"23,30,48","3,23,39","6,13,30,37","5,20,23,27","16,31","1,36,48"
"12,16,19,34,36,43","2,16,20,23,25,29","29,46","5,13,16,20,23,32,42","9,23,25,26,27","0,3,5,13"
"4,30,46","5,31","0,1,19,24,39","9,15,16,19,39,40,43,45","4,39,44,45","5,10,29,38,39"
"1,15,16,19,39,42","9,19,20,25,27,34","2,15,23","3,15,18,27,31,41","6,7,30,31","8,14,15,21,37,47"
"0,16,43,48","3,12,34,44","13,15,16,33,35,41,43","2,9,18,30,35","13,25,40,43,44,49","5,6,13,14,22,25,31,33"
"29,35,42,46,48","17,23,24,26,42","3,6,43,45","1,2,11,38,39,48","2,3,4,8,17,31,38","1,20,36,41"
"4,30","8,18,19,20,29","10,22,27,34,37,43,49","26,28,45","6,8,18,30,48","8,15,16,28,34,38,42"
"5,6,11,14,24,36,37,38","7,28,32,38,48","4,8,13,15,42","0,34,42","1,10,15,18,21,36","8,14,26,37"
"1,6,7,9,33,45","2,8,9,22,25,27,28,30,35","2,9,10,30,33,37,39,44","2,17,39,47","1,2,13,15,18,22,38,41","12,13"
"27,32,46,49","19,22","30,37,38,39,44","15,24,26,33,38,40,41","35,42,46","5,6,24,25,27"
"10,18,37,45","5,20,32","0,7,25,29,30,39","6,16,30,32,33,44","6,8,20,21,39,46",41
"2,4,7,15,24,30","4,13,34,35,36,42","0,12,45","0,33,48","12,13,17,31","0,5,12,13"
"7,14,34,41,42,45","0,6,10,11,24,25,30,32,40","3,10,19,23,32,34,45","3,6,21,24,30,31,34,35,36,41","3,10,17,24,25,47","0,1,5,10,11,21,24,30,34,45,48"
"0,6,11,22,36,45","8,9,11,13,16,24,45","28,30,33,35,45","9,16,21,32,38,43,48,49","9,10,13,15,20,24,41",30
"34,46,48","13,33,42,48","27,36,40,46","19,44","17,27,30,35","18,21,34,35"
"1,18,26,33,42","13,26,28,45","2,21,29,49","11,21,29,35,44","15,20,32,36,40,46","5,9,12,15,35,46,49"
"25,46","3,4,30,31,39","1,3,30,32,39,42","18,36","2,19,20,27,29,31,36,38,41,44,49","0,18"
"4,13,22,27","0,28,38","1,4,5,17","14,33","0,3,13,18,33,34,41","5,8,27,41"
"6,8,12,20,21,22,25,28,31,36,39","1,15,18,26,47","9,12,14,18,23,37,41","0,3,5,24,25,44","20,24,28","1,2,6,16,22,24,37,40"
"2,8,46","7,12,15,17,23,28,31,33,49","1,4,7,30,35,39,45,46","6,8,16,41,49","14,28,31,34,40,43","15,24,35"
"0,24,28,32,34,46","1,6,9,27,49","4,21,32,43","8,9,33,40,42,46","8,19,22,24","8,13,22,25,42,44"
"10,16,20,25,49","29,44","20,27,38","16,42,43","1,4,7,26,31","21,22,23,29,32,34,35,48"
"2,18,24,46,48","4,10,11,29,31,37,41,43,46","11,13,24,26,32","18,24,26,33,42","15,16,23,45","19,24,43,48"
"8,9,16,25,31,41,45","21,26,47","2,7,17,37,40","3,4,7,26,27,31,33,37","10,20,23,44,49","7,16,24,27,38,46"
"2,26,47","2,10,19,27,28","13,19,25,30","4,8,12,17","2,9,23","4,5,8,24,28,37,41,42"
"2,3,9,11,12,18,20,21,30,35","40,49","2,4,5,19,22","11,15,19,30,36","7,34,45","7,9,35,48,49"
"3,6,21,33,49","0,2,17,20,28,39","0,7,19,41,44,45","9,14,18,35,46","19,29,43","6,17,21,25,39,43"
"14,20,21,22,28,31,40","14,22,48","4,15,30,45","1,5,10,14,38","0,1,4,12,28,38,45","14,17,20"
"26,35,43","2,3,11,16,27,31,42",39,"30,40,41","24,37,47","14,21,32,40,42,44,47"
"2,16,30,38,47,48","0,10,20,25,28,29","24,35","4,11,17,22,29,36,48",34,"15,21,24,31,40"
"5,19,28,44","6,10,21,47","7,8,15,17,24,27","8,18,32,36,40,42,49","2,7,17,23,26,40","0,10,13,19,32,33,34,42,47"
"16,17,18,32","16,31,38","13,16,40,45","11,34,38","34,46,49","14,25,33"
"0,6,20,21,38,48","5,7,9,11,14,16,28,35","8,11,42,46,47","2,9,32,40,44","16,33,49","3,22,26,27,30,44,46,49"
"17,23,24,25,31,38,39,43,46","3,10,14,34,37,39","2,3,10,20,22,24,25,35","0,24","1,5,8,10,25,27,49","6,14,18,47"
"13,26,31,44","21,22,27,43","2,9,14,17,21,26,28,31,32,34,45","27,35,44,46,47","6,10,34","3,7,32,38,46"
"4,9,10,44","0,2,7,24,40","3,36,41","15,40,42,45","30,35,42","9,20,46"
11,"9,10,11,18","12,16,17,26,34,41,44","6,12,24,33,34,37","6,10,19,26,39","2,5,17,23,25,41"
"18,27","9,11,16,28,35,43,44,45","1,7,21,33,38","27,37,44,49","10,31,32,37","4,5,25,31,42,49"
