mg,mo,gm,go,om,og
"8,14,32","19,30,38,41","6,11,21,44,48","0,6,11,19,25,33,35,38,39","5,12,23","0,10,11,12,25,32,41,45"
"2,16,17,34,42,45","12,15,27,35,41,47,49","5,10,26,38","13,16,20,34,49","7,19,20,32,36,39,42","20,22,37,44,45"
"9,17,19,20,31,45,48","5,30,31,33,35,43,44","1,4,10,14,19,22,40,41,45,49","5,24,27,30,34,37,41,43","18,28,29,49","7,13,14,24,34"
"20,35,43","3,13,15,29,48","32,34",31,"3,4,7,11,37","7,15,42"
"2,27,39","3,6,20,25,42,46","6,11,18,31,46","5,7,8,26,27,35,41","6,23,32,35,39,42","5,6,19,23,28,47,48"
"1,7,13,16","0,5,6,11,26,28,32,45,49","16,21,33,42,49","4,27,31,37,44,45","2,5,26,30","2,4,10,36"
"0,4,17,36","4,17,30,31","14,15,28,29","4,6,13,37,39,45","4,5,7,22,23,38,46,48","0,6,15,19,21,44"
"7,35,42","1,3,6,38,43","5,7,9,11,21","2,3,25,26,37","34,38","4,24,29,32,46"
"8,36,41,44",,"0,8,20,22,28,45,48","9,29,33,41,46,47","25,26,39,43","4,14,36,37,38,45"
"7,11,18,36,37,40,42,43","12,15,37,46","2,14,23","23,24,25,29,33,39,44","32,34,43","8,23,39"
"1,2,25,29,40","19,24,39","12,20","0,5,12,17,21,23,32,36",18,"24,42,49"
"0,4,7,19,24,25,36,46","3,11,13,39,42","9,30",0,"5,11,13,18,22,27,28,49","0,38"
"10,17,24,29","0,43","21,32","0,15,20,25,46,48","1,9,37,39","10,27,28,33,40,44"
"19,20,32,38","11,16,29,45,46","5,25","2,29,37,45","3,11,15,27","1,6,23,26,32,38,39"
"2,6,9,31,39,43,45,48","15,38,40,45","0,16,19,26,39,41,47","2,8,45,47","42,46","21,29,38,45"
"6,21,37,40","13,20,24,25,35","17,23","3,6,25,31,32,33,40,44,48","1,3,9,14,16,19,21,31,33,38,41,43","12,20,22,34,47,48,49"
"5,14,26,37,39",15,"1,5,42","22,29,32,42","13,21,22,38,44,49","1,38"
"15,34","18,25,26,38","1,2,6,12,23,27,42,43","38,41","6,22,28,44,46","10,29,35,44"
"4,27,37,39","2,10,11,18,29,44,47","9,24,28,38,44,45","21,23,31","17,18,19,31,39","29,45"
"2,14,20,22,23,31,41,49","1,15,18,20,26,49","2,11,13,23,35","4,6,23,35,39,44,48","0,10","0,32,33,42,45"
"8,10,22,27,39,41,45","1,22","2,3,13,19,22,34","1,15,25,31","4,15,19,29,36,49","1,12,33"
"0,5,7,12,26,31,48","15,16,25,37,44","15,35","6,14,33","44,47,48","10,18,23,36,37"
"2,8,20,25,27,39,45","6,11,16,17,31,32","19,20,25,32","1,15,23,27,47","20,31,39,40","16,39,40,43"
"9,15,17,19,24,37,40,41","0,4,6,32,41,43,44","19,36,47","4,9,13,21,28",36,"9,10,18,19,22,26,34"
"18,25,26,35,39,41","35,38,44,48","11,12,23,28,36,41,48","2,7,10,24,29,30,33,40,45,48","10,15,30,36,38,45","2,9,24,26,31,33"
"13,22,30,41,42,45","8,33,37,44","10,11,22,24,26,27,39","0,38,42,43,49","4,15,17,21,27,31,35,36,43","0,7,9,12,15,20,28,35,43,49"
"1,14,25,47","5,8,39,48","16,21,24,27,31,41","13,23,24,36","5,17,19","4,7,37,44"
