mg,mo,gm,go,om,og
"2,3,6,14,23,26,27,28,33,36,40","1,2,8,23,40,46","7,22,26,32,49","1,7,44,47","4,12,27,29,40,42,47,49","19,26,30,47"
"10,25,27,38,48","2,29,45","4,12,25,28,31,33,37,41,46","9,21,39,45","0,26,41,49","0,7,9,33,42,45"
"18,19,23,25,46","5,9,20,24,31,33,42","0,7,9,22,38,42","34,43,49","0,1,6,13,29,35,40","6,7,26,33,38"
"9,25,39","14,25,40,44,49","0,5,8,31,46","18,22","18,20,21,22,30",4
"1,24,32,35,40,48,49","0,13,16,21,33,43,46","24,39,48","3,6,13,15,26,46","13,15,18,35,47","16,19,38,44,47"
"3,9,19,23,39,43,47","9,14,19,33,40,44","23,33,35,46","5,10,17,26","2,6,10,12,13,20,23,26,37,40,42,49","5,6,12,14"
"7,15,26,39,43","2,5,11,19,21,24,45","0,12,14,17,23,41,47,48","2,5,26,27","7,24,40,44,46","4,13,16,23,25,47"
"0,2,18,25,26,35,46,47","6,18,37,44,48","6,17,22,44","1,2,7,20,25,26,35,40,44,48","9,14,24,26,30,37,39,40","0,7,9,37"
"3,9,11,21,29,35","9,13,14,15,42,48,49","16,31,36,43,48","9,22,31","0,12,14,18,35,40","30,35,36,47"
"2,12,13,24,35,37,39,45,49","7,12,42","3,5,8,28,37,48","1,7,13,19,34","2,5,8,27,44,47,49","1,8,12,27,31"
"46,49","5,18","1,32,47","18,25,38","22,24,26","5,13,22,26,31,34,40,44"
"16,26,37,39,44,45,47,48","32,37","8,14,15,22,25,29,32","21,28,30","6,13","14,28,31"
"1,6,15,24,38,46","0,5,8,13,22,28,41","9,17,20,42,43","5,9,25,35,39,42,47","9,24,27,36","22,30,36,42"
"16,32,36,48","2,4,5,11,18,31,32,33","9,19,34,49","6,10,22,38,40,47","4,8,12","4,9,18,23,37,38,43"
"6,11,42,49","7,8,23,41,43","0,28,33,39","5,11","3,5,8,15,32,46","18,25,26,29,35,44,47"
"11,17","4,14,26","6,12,31,43,48","19,23,47","8,16,23,24,32,45","4,20,29"
