mg,mo,gm,go,om,og
"0,34","2,18,26,34","0,7,11,24,40,45,48","2,3,7,9,37,38,46","15,21,32,33,49",13
"8,17,23","2,31,36","16,30,42","2,38,41","4,20,47","20,30,33,38,47"
"3,21,27,36,45,47","10,25,31,35","9,11,37","8,14,42,46","0,1,7,24,38","0,1,10,11,22,33,35"
"32,34","4,7,10,17,23,26,28,35","2,4,11,12,14,15,46","17,35,46","5,16,21,28,32,47,48","0,4,6,18,24,25,31,38"
"3,7,12,13,18,27,33","1,47","11,18,23,26","3,15,17,45","3,13,21,26,43,47","6,13,17,19,22,26,42,48"
"21,25,32,43","3,16,31,45,49",18,"12,17,20,24,43","10,13,16,21,25,27,34,38,42","22,26,40,43,47"
"12,19,21,29,31,32","9,11,14,25,29,39,42,46","46,47","3,4,6,19,30","9,16,18,25","6,7,8,12,29,46"
"0,17,23,40,46,48","2,7,13,24,26,39,40,46","4,9,10,29,32,33,36","6,19,42,44","3,7,19,26,42","0,14,22,24,31,36"
"19,34","9,23,38,46","1,9","6,27,28,45","33,40","2,13,23,26,42"
"2,7,8,16,17,19,27,29,30,45,46","6,23,26",32,"34,36,49","6,8,18,19,20,22,27,39,41,47","0,12,13,26,42"
"7,16,21,25,37","5,14,18,36,40","17,24,38,39,47","2,10,21,29","2,3,23,30,33,37,39,46","10,14,23,24,26,33"
"0,2,3,4,47",,"17,26,33,36,38,45","2,19,27,38,45,46","6,28,30","19,38"
"3,19,22,24,27,28,31,33,36,42,48","22,23,25,46","4,6,19,25,35,36,48","6,9,16,35","23,28","5,24,35,44"
"21,25,32,33,38,45,48","4,5,16,24","4,14","0,4,8,9,26,27,36","7,39","14,42,43"
"3,13,15,20,29,38,40,41","14,22,33,45","21,43,44,48","7,10,13,19,42,47","6,10,14,20,27,32,34,46","2,16,32,33,34,43"
"3,39,42","0,17,27,30,36,42,46","14,29,32,43",43,"27,31,47","4,29,33,48"
"1,21,26,41","3,5,6,32,46","9,10,42","14,17,21,22,32,35,45","5,13,24,29,30,49","12,24,36,45"
"10,11,32,33,37","22,29,36,37,41,46,48","1,7,9,37","4,20,34,36","3,15,21,23,25,27,28,37,40","3,4,5,16,27,32,39,43"
"4,5,30,49","6,9,23,29","4,28,30,37,38,43,47","3,23,28,38","0,10,34,39","34,47,49"
"12,39","7,9,20,23,28,38,43","6,8,9,12,33,34","4,11,19,20,29,33","30,39","6,7,11,14,19,29,30,41"
"36,39,42,48","1,9,14,21,22,31,32,46","14,21,26,28,37,38","1,23,24,38,46","19,26,27,28,43,46","5,17,19,22,25,33,41,44"
"14,20,22,25,32,34,39,46,49","0,3,4,5,17,28,34,40,44","2,5,6,10,13,16,39","26,30,44","20,27,28","10,16,26,35,43"
"35,37,38,42","9,22,26,36","12,21","2,4,5,7,20,27,32,33,41,48","12,14,17,20,22,40,43,45,46","16,29,38,48"
"4,32","10,12,17,32","1,7,30,32,34,44,49","8,10,24,25,32,43","3,8,9,12,18,19,28,41","18,20,25,37,38,41"
"0,10,27,28,37","2,16,27,28,32,38,40,44,48","12,34,48","3,7,10,12,16,31","7,13,27,32,48","5,20,23,25,26"
12,"5,6,17,29,31,45","5,10,13,21,26,44,47","3,20,23,24,27,29,38","2,6,12,28,46","23,29,30,31,32,42,49"
"4,11,20,25,45,48,49","4,7,20","16,38","4,5,8,9,10,21,24,29,38,42","0,3,7,9,22,34,38","13,21,30,41,42,45"
"40,44,49","5,9,14,15,17,20,21,24,36,47","2,4,9,12,24","17,34","15,24","8,11,13,22,25,32,38"
"18,20,29,33,37","3,11,12,17,20,21,23,25,29,36","12,24,42","34,41,46","3,19,21,24,47","8,18,31,45,46"
"7,15,29,41","16,49","6,9,14,28,29,31,42","6,15,19,22,25","6,17,18,25,28,38,48","10,19,25,26"
"1,18,23,36","10,11,16,19,44","9,18,35,40","1,19,25,26,32,35,37,46","15,35,42","6,21,32,43"
"29,31","15,41,46,49","6,12,31,38,47","3,7,25,28,31,49","1,2,5,20,25,34,40,45","24,31,36,41,44"
"7,9,15,23,32,34,37,44,48","0,3,14,24,32,33,35,45","3,5,6,13,17,21,23,32","14,17,25,27,30","16,20,23,24,32","16,22,23,30"
"7,11,19,47","0,8,10,37,41,47","4,12,13,17,28,40,49","1,2,10,14,15,20,45,46","14,32,40","19,22"
"19,23,24,41","5,14,18,26,31,40","0,3,8,21,32","14,18,46","0,21","9,17,27,28,39"
"12,30,36,39,40,48","30,36","22,38","2,12,21,36","2,3,32,38","3,12,16,30,44,45"
"7,11,12,39,40,46",,"2,12,20,30,35,45","7,16,31,38","1,10,15,17,22,27,28,35,37,40","9,13,17,35,38,40,49"
