mg,mo,gm,go,om,og
"1,7,23","23,26,40,48","2,8,11,43","12,19,31,39,40","12,13,22,44","4,5,10,13,29"
"2,3,23,33,42","1,14,34,38,42,48","0,6,13,26,36,49","3,5,7,10,22,24,26,40,48","5,16,19,29,38,46",24
"0,11,13,19,33,37,45,48","2,9,19,38","1,3,7,17,43","4,8,9,19,20,40","22,25,38,39,42,48","22,32,39"
"2,20,24,29,32,42","0,4,30,31,47","1,16,44,47","12,25,28","3,4,30,41,49","1,4,40,45,49"
"9,17,23,28,45","29,31,32,44,45,47","14,16,29,35,43","0,3,9,17","35,41,46","2,7,9,14,44"
"45,47","11,21,31,39","17,31,44,45,47","0,17,21,31,40","15,47","1,6,13,45"
"1,14,22,39,44,47,49","1,3,10,11,14,15,30,40,43,45","7,14,37,42","5,21,22,47","3,14,35,47","9,11,13,27,40"
"2,6,15,21,35,47","7,19,24,29,42","0,23","4,20,39,41","3,5,7,9,14,23,27,39","1,24,31"
"0,40,42,43","4,17,29,34,38","24,26,40","37,46","6,25,27,29,31,43","2,9,15,19,32,45,48"
"12,26,43","0,3,7,8,26,27,36,48","4,10,11,17,20,34,38,44","4,6,8,11,15,17,27,43,44","4,8,27,39,45","2,4,23,24,27,31,35,41,45"
"9,13,15,16,17,19,25,28,30,45","3,7,8,11,14,31,45","11,12,28","0,27,29,40","9,19,24","1,16,21,36,46"
"0,9,10,32,40,41,42","13,25,31","2,16,21,47","6,18,34","12,13,19,27,29,31,39,46,48","9,18,25,34,40,45"
"10,16,23","11,24,29,33,34,48","9,15,32","15,16,21","7,12,16,21,22,25,26","0,3,22,27,37,39,41,45"
"1,25,32,37,41,46","8,10,15,21,33,34,44,45,47","2,10,41,45","0,5,6,22,27","12,15,32,38,40,49","26,38,45,47,48"
"4,6,21,31,40","6,15,26,36,39","6,27,34,39","4,25,34,36,42,43,44","7,9,17,25,26,39,42,44","18,24,27,29,47"
"12,42,48",47,"7,10,17,24,39","8,23,34,41","10,24,40,43","9,12,19,40"
"3,4,11,18,33,37,41","6,12,17,20,22,44","10,12","10,16,28,42,46,47","1,18,38","12,16,24,47"
"2,5,9,15,17,21",34,"4,10,17,19,21,23,29,32,35,49","24,36,38,40,45","0,4,5,6,7,9,21,27,31,33,47","4,5,9,37"
"19,25,34,38","12,44,48","16,21,33,38,46,48,49","11,14,40,49","15,23,24","11,21,23,33,35,36,42"
"17,28,44","2,4,7,19,25,27,31,37,45","2,10,18,26,28,29,33,36,41,45","8,15,25","2,5,41","0,2,20,39"
"9,32,33,38,47","16,27","3,29,40,49","19,21,28,46","2,21","2,7,43,45"
"11,17,18,24,28,47","3,14,15,31,36,48","7,14,17,27,32,37,39","10,18,24,27,29,45,49","1,4,9,31,38,42,43","5,6,12,20"
42,"17,22,28,32,39",6,"2,12,48,49","11,17,20,21,38","1,6,13,24,25,47"
"7,17,31","3,4,16,45,46","0,1,4,12,29,34,37","9,18,28,35,40","0,4,11","15,38,47"
"8,15","22,23,25,43","3,21,28,41","1,7,9,14,16,22,41","3,4,19,31,32,35,41,46","1,17,21,26,27,40,45"
"30,33,34,44,47","14,19,25,31,32,38,39","10,13,18,32,44,45","11,22,47,48,49","26,40,46","3,14,19,29,38,48"
"1,8,19,27,29,30","14,20,22,34,38,40,44","9,30,33","13,24,39,41","8,10,27,28,32,38,41,46","1,28,48"
"14,21","16,24,26,38,42","26,28,35,41,44","6,9,12,14,24,27,41,47","6,9,12,15,26,39","9,10,13,21,27,28,32,34,47,49"
"10,19,24,27,45,48","1,7,11,22,32,35,44","4,10,19,21,31,38,44,47,48","26,27,33","1,23,38,40","3,16,20,23,38,40"
"4,17,19,20,23,30,34,37,38,43,48","9,11,26,29,32,38,39","3,26,34,46","0,14,25,47","4,5,13,20,25,28,34,46,48","10,21,47"
"26,37,40","4,39,40,45,47","10,25,26,29,34,40,42","34,37,40,41,46,48","11,17",48
"5,28,33,45","25,28,43","14,23","7,9","30,32","0,5,35,36,43"
"12,17,21,25,33,40","4,17,26,28","3,11,13,20,40,45,47","2,8,27,42,44","12,19,43",33
"18,19,26,39,47","12,23,29","1,2,16,20,25,31,32,36,41,47,49","18,32","1,4,5,38","28,34,36"
"9,14,23,29,30,41,45,48","32,38,42,45,47","18,25,29,42","11,27,33,37,38,39","6,23,28,32,35,36,40,49","11,14,15,30,42,49"
"4,17,27,37","5,13,46",7,"9,18,31,38,40,48","20,37,42,44","23,40,46"
"1,19,33,42","31,35,37,44","45,46","10,18,31,33,37","6,30","14,17,37"
"6,21,23,37","18,23,29,32","2,13,16,29,30,35,37","12,17,36","25,41","8,30,34,36,42"
"9,18,28,49","5,10,18,30","18,20,29,42","13,23,25,28,44,49","0,15,16,26,27,34,36,40","17,34,35"
"14,15,21,40","2,7,11,16","6,33,44","2,12,19,47,48","6,49","0,7,26,34,41,43"
"8,20,30,32,47","6,7,44,48","8,11,14,30,32,39","3,6,11,15,24,28,35,41,45","2,8,18,21,28,29,32,41","0,1,2,5,10,17,18,23,30,35,43,47"
"13,19,24,27,33","5,21,25,31,37","11,13,16,34,44,45","9,12,39,43,47","15,20,24,26,31","7,15,24,26,27,30,40,45,47"
"6,30,34,38","0,4,12,14,16,17","1,3,8,11,15,22,36,43,44,48","18,34,37","14,20","14,16,32"
"0,2,4,42,43,45,49","12,32,41,46","8,9,29,43","20,31,39,40","2,8,30,31,34,46","9,14,41,44"
"3,5,9,25,27,28,39,41,42","14,45","6,19,25","4,43,45,48","15,29,40,41,44,45","9,14,32,38"
"5,13,19,25,32,36,41","2,11,18,19,27,33,36,45","2,4,5,10,28,31,34,43","3,5,8,9,11,12,13,20,24,41","4,5,42,45","17,21,40,44,46"
"18,29,36","9,14,26,39,44,45",13,"10,35,45,49","3,11,28,34","8,16,20,30"
"3,5,11,28,32,33","0,4,10,15,31","5,6,7,20,21,25,33,40","13,14,16,22,23,27,29,40,41","1,10,11,14,28,41,44,48","6,16,25,27,29,39,41,48"
"18,28,42","0,3,9,15,42","2,15,28,29,34","8,13,25,26,30,47,48","12,18,19,31,32,36,39","1,22,25,30,35,39,44,48"
"1,17,18,20,33",1,"6,38,43","3,27,34","12,21","18,21,22,25,38,46"
