mg,mo,gm,go,om,og
"3,5,11,15,19,29,38,40,41,44","0,8,11,14,16,17,18,19,23,40,43,44,48","7,11,13,21,31,32,41","10,20,21,26,38,40,45","0,8,17,18,25,37,40,45,48","7,8,14,17,18,20,24,30,36,40,41,46"
"2,6,15,25,28,34,40,42,44","3,8,17,18,25,26,34,37","9,20,23,24,27,28,36,38,40,45","2,3,13,14,18,25,26,31,38,42,43","2,30,34,38","2,3,8,10,20,22,24,29,35,41,46,49"
"9,10,16,17,20,22,23,30,35,39,46,48","1,4,6,9,10,16,17,19,21,25,26,31,35,42","1,9,11,12,17,18,22,23,24,33,41","1,20,22,25,32,40,43,47,49","5,7,14,17,23,26,28,30,46,49","1,16,19,23,25,33,35,40,42,43,45"
"12,15,27,33,34,35,38,39,43","5,7,17,18,21,34,41,47","0,4,14,29,36,38,40,42,44,45,46","1,14,15,21,25,40","1,7,26,28,31,36,45,46,48","1,5,7,15,21,22,24,25,34,36,40,47,48"
"3,7,23,24,29,35,41","9,10,16,18,27,34,38,42,45","20,23,24,38,46,49","13,20,22,28,39,40,48","2,21,27,29,38,39,41,46,48","5,6,9,12,14,31,34,43,44,47,49"
"9,18,20,22,24,30,48","2,9,10,15,22,27,30,38,39,41","0,13,35,39,45,47","3,4,8,22,24,43,44,47,49","3,21,22,30,37,39,48","10,26,27,34,35,36,40,42,46,47,49"
"7,9,11,17,19,20,22,30,32,37,38,40,48","6,11,12,21,27,30,33","1,7,8,12,32,33,44,48","4,17,19,28,40,41,43,45,46,49","2,6,15,17,26,27,30,33,34,36,39,42,44","14,19,25,32,45"
"0,6,7,10,18,31,36,38,43,44,46,48","2,3,18,20,22,32,37,42,44,46,47","4,6,7,11,12,13,14,21,22,30,31,42,44,47,49","0,3,16,26,29,35,37,40,43,46,47,48","3,8,12,15,22,23,33,34,35,36,39,46,48","8,18,26,31,33,43,47,48"
"6,9,12,18,34,47","0,7,9,13,18,19,29,30,32,42","9,12,16,21,24,27,28,30,32,38,48","0,1,7,10,14,23,39,40,49","0,1,13,15,17,18,24,27,28,33,37","5,12,16,19,23,28,31,32,39,41,43"
"1,2,8,12,14,37,38,42,47","10,15,17,25,33,46,49","2,5,6,8,10,11,15,28,30,31,33,37,40,45,48","4,9,11,23,32,33,36,39,46,48","2,4,5,8,10,25,33,36,39,48","9,13,14,15,25,27,30,47,49"
"9,11,21,23,25,28,31,34,40","9,12,16,19,27,28,35,37,44","2,7,12,28,34,35,36,47","1,5,12,16,18,21,27,28,31,33,39,43,47,48","2,4,5,9,20,25,26,33,40,43","0,8,14,20,28,35,36,41"
"0,2,7,9,13,14,15,18,23,29,30,34,35,38,43,49","13,30,37,40,41,42,43,44,46,48","0,6,10,13,15,17,30,36,40,46","13,18,31,34,37,41,42,47","0,6,14,20,23,27,34,35,40,44","9,24,27,30,35,36,39,42"
"2,6,7,8,10,13,14,22,33,48","7,16,25,26,31,33,38,40","3,8,9,16,20,33,36,40,47","4,8,20,33,46,47","6,10,17,19,21,29,39,41,49","10,16,23,29,30,31,33,35,45,46,48,49"
"0,5,7,11,19,21,22,23,29,31,32,35,36,38,39,42,49","8,20,23,30,31,38,44,45,48","11,12,22,24,45","9,13,25,32,33,34,36","8,11,17,32,33,36,39,40,41,42,43","1,4,11,13,18,19,27,34,49"
"3,7,16,21,38,40,42,47,49","2,11,15,40,45,49","9,11,12,15,17,20,33,35,36,44","0,4,6,9,10,26,27,33,37,39,41,46","0,15,19,20,24,33,38,39,40,42,45,48","1,3,8,16,17,32,35,39,40,41,48"
"9,11,14,21,22,27,33,34,37,41,42,43,46","6,7,8,14,18,19,24,28,30,41,47","0,1,3,11,17,20,24","3,9,15,16,28,29,34,35,38,39","5,9,14,16,32","3,15,23,26,29,40,44,46"
"8,12,16,18,19,21,26,30,34,42","15,17,24,25,47,48","2,14,16,18,26,31,34,49","2,8,12,14,25,33,38,46","0,2,4,10,12,18,20,21,25,29,35,36,44","7,10,15,20,21,23,27,33,34,37,41,44,46,47,49"
"2,11,14,15,20,25,36,41,47","0,2,6,8,12,13,19,20,24,40,42","2,6,26,30,33,37,42,49","0,14,27,30,31,33,35,36,37,40,41,44,49","0,1,2,3,9,16,22,24,38,40","6,20,22,32,33,40,41,46"
"2,16,18,20,24,27,36,37","0,8,16,19,27,29,31,37,46","5,7,8,11,16,18,20,24,25,33,35,39,40,43,44,46","0,7,13,19,21,22,42,43,45","0,1,3,4,7,8,15,19,20,21,26,34,41","1,10,11,27,32,42,47"
"19,20,23,26,29,30,32","12,14,18,25,26,27,35,43,44,45,49","0,6,13,16,19,21,24,26,29,30,35,38,39,41,44","2,6,8,13,28,39,42,47,49","0,2,8,10,15,17,18,27,28,37,38,39,44,45,49","6,18,25,26,27,30,31,34,41,47"
"1,4,12,14,15,18,22,25,27,37,41","10,11,14,16,18,27,28,31,39,45","2,5,6,17,18,19,22,28,32,36,37,42,44","0,1,10,16,17,20,22,25,27,28,34,42,43,47","7,13,17,26,27,28,39,41,47","0,2,4,12,20,23,29,32,35,41,45,47"
"0,7,8,19,23,24,31,34,35,36,39,40,44,46,48","4,5,12,16,18,21,23,24,30,32,34,39,42,43","10,13,14,15,16,23,26,29,32,36,41,44,47","3,16,25,26,27,29,32,43,45","2,3,6,21,25,26,41,46,48","0,3,10,18,22,25,26,31,32,40,45,48,49"
"2,7,13,20,22,24,31,38,43","5,7,17,25,29,32,38,41","2,5,6,12,13,15,20,22,23,33,35,46,48","1,3,17,21,32","5,7,29,32,34,37,38,40,41,42,49","2,4,5,18,20,27,29,37,42,43"
"1,2,4,21,22,27,36,37,38,41","2,7,11,24,27,36,38,48","2,4,10,11,13,19,21,26,33,34,45,46,48","2,8,12,15,16,20,23,26,27,33,38,42,47,48","0,13,21,28,35,38,39,42,47","8,9,23,25,32,39,45"
"1,2,4,8,13,15,18,19,29,42,45","8,14,17,26,31,33,36,39,43,48,49","4,5,18,21,22,25,27,28,34,36,39,40,41,46,47,49","0,1,3,11,29,30,32,37,38,46,48","15,16,17,21,23,28,37,39,40,41","5,27,39,43,44"
